list,max_key,u_rate,rq_rate,wrk_threads,rq_threads,rq_size,u_latency,c_latency,rq_latency,tot_thruput,u_thruput,c_thruput,rq_thruput,rq_len,avg_in_announce,avg_in_bags,reachable_nodes,avg_bundle_size
citrus-lockfree,100000,40.00,20.00,32,0,50,683,456,6121,18257397,7310001,36455070,3656382,25,0,101,0,0.00
citrus-lockfree,100000,40.00,20.00,48,0,50,818,539,9459,17473173,6999046,34881215,3497884,25,0,153,0,0.00
citrus-lockfree,100000,40.00,20.00,64,0,50,2430,621,24435,10853322,4347949,21657075,2173958,24,0,211,0,0.00
citrus-lockfree,100000,40.00,20.00,80,0,50,2886,692,30957,10936328,4379637,21833675,2189956,24,0,263,0,0.00
citrus-lockfree,100000,40.00,20.00,96,0,50,2809,716,34937,10974081,4395370,21912130,2196285,24,0,318,0,0.00
citrus-bundle,100000,45.00,10.00,1,0,50,576,411,2774,1238563,557819,2783290,124086,24,0,0,49779,1.17
citrus-bundle,100000,45.00,10.00,16,0,50,941,551,3105,15952153,7186562,35842475,1597096,25,0,0,49973,1.17
citrus-bundle,100000,45.00,10.00,32,0,50,1323,907,4055,21658541,9757462,48659225,2169234,25,0,0,49833,1.17
citrus-bundle,100000,45.00,10.00,48,0,50,1791,1117,5095,24624398,11092267,55332020,2465727,25,0,0,50031,1.17
citrus-bundle,100000,45.00,10.00,64,0,50,3460,1946,7512,19060787,8587543,42823085,1908627,25,0,0,50035,1.17
citrus-bundle,100000,45.00,10.00,80,0,50,4320,2100,8420,20916081,9425622,46983520,2093755,24,0,0,49966,1.17
citrus-bundle,100000,45.00,10.00,96,0,50,3993,1649,8987,22036228,9926162,49519940,2206078,25,0,0,50063,1.17
citrus-lockfree,100000,45.00,10.00,1,0,50,417,338,1723,2153660,970668,4837930,215406,24,0,0,0,0.00
citrus-lockfree,100000,45.00,10.00,16,0,50,547,372,3745,20376885,9179577,45786405,2040027,25,0,51,0,0.00
citrus-lockfree,100000,45.00,10.00,32,0,50,680,449,6776,25756168,11601554,57877715,2579071,25,0,106,0,0.00
